Fri Dec 18 13:08:40 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 13:08:43 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 13:08:52 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,on
Fri Dec 18 13:08:55 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,off
Fri Dec 18 13:08:56 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 13:08:58 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,on
Fri Dec 18 13:09:03 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 13:09:04 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,off
Fri Dec 18 13:09:08 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,on
Fri Dec 18 13:09:09 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 13:09:13 UTC 2015,e4751ffe-9e4b-4e5a-b56e-18df255bca79,off
Fri Dec 18 13:09:17 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 13:09:19 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 13:09:24 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 15:33:50 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 15:34:05 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 15:52:30 UTC 2015,9d4d23da-a49f-444f-b784-ed5d8bf31f1b,on
Fri Dec 18 15:52:33 UTC 2015,9d4d23da-a49f-444f-b784-ed5d8bf31f1b,off
Fri Dec 18 15:57:10 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 15:57:18 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 16:10:07 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 16:10:13 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 16:10:29 UTC 2015,cc7daa52-702b-47e2-947e-ac4cc8130112,on
Fri Dec 18 16:10:29 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 16:10:46 UTC 2015,cc7daa52-702b-47e2-947e-ac4cc8130112,off
Fri Dec 18 16:10:50 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
Fri Dec 18 16:12:58 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,offline
Fri Dec 18 16:16:47 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,on
Fri Dec 18 16:16:53 UTC 2015,4748db6c-ca5c-4a89-ac7c-9bcbb8b5a9ef,off
